epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.1694,1.44641,2.01086,1.49945,0.4925,0.35509,0.3589,0.17086,1.78121,2.12122,1.97892,0.000664865,0.000664865,0.000664865
2,56.1118,1.64515,1.93967,1.67002,0.4489,0.33712,0.32762,0.1408,1.93532,2.19825,2.06345,0.00131835,0.00131835,0.00131835
3,80.9916,1.65361,1.87668,1.68491,0.51771,0.3303,0.33474,0.13392,1.97019,2.17207,2.16252,0.00195863,0.00195863,0.00195863
4,105.232,1.68181,1.858,1.70968,0.49292,0.35758,0.36896,0.16669,1.91073,1.93525,1.97371,0.0019406,0.0019406,0.0019406
5,129.638,1.63399,1.7914,1.67631,0.59557,0.4303,0.46458,0.22648,1.7713,1.80046,1.88704,0.0019208,0.0019208,0.0019208
6,154.209,1.58457,1.73783,1.63881,0.56392,0.40379,0.44164,0.22375,1.72335,1.85013,1.86995,0.001901,0.001901,0.001901
7,178.027,1.55384,1.70773,1.6192,0.56195,0.43864,0.44812,0.22219,1.72853,1.81603,1.81762,0.0018812,0.0018812,0.0018812
8,202.022,1.51928,1.63526,1.58958,0.54549,0.38939,0.42004,0.20981,1.73139,1.88288,1.89797,0.0018614,0.0018614,0.0018614
9,227.591,1.5094,1.62224,1.58998,0.64223,0.46894,0.52038,0.27296,1.65723,1.62261,1.77614,0.0018416,0.0018416,0.0018416
10,253.502,1.49421,1.60513,1.57052,0.61376,0.46515,0.50336,0.2717,1.59765,1.61972,1.75672,0.0018218,0.0018218,0.0018218
11,279.486,1.46246,1.55439,1.54236,0.66956,0.44977,0.51173,0.27597,1.59492,1.68883,1.72543,0.001802,0.001802,0.001802
12,303.892,1.44399,1.51631,1.5375,0.63376,0.45455,0.50858,0.2797,1.58248,1.58937,1.73483,0.0017822,0.0017822,0.0017822
