epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.0239,1.40956,3.11571,1.79815,1.45873,0.44755,0.37424,0.33768,0.14076,0.36452,0.30152,0.22397,0.07417,2.00586,4.23509,2.25938,2.08584,0.000663063,0.000663063,0.000663063
2,78.3174,1.70761,3.55137,1.81093,1.68499,0.21505,0.29181,0.16396,0.06168,0.21074,0.22576,0.11388,0.03585,2.29305,4.10958,2.63416,2.25051,0.00131657,0.00131657,0.00131657
3,114.867,1.70037,3.57301,1.80951,1.68314,0.36722,0.33182,0.27807,0.11322,0.37032,0.25682,0.20462,0.05635,2.05966,4.10782,2.38212,2.08317,0.00195687,0.00195687,0.00195687
4,151.654,1.63883,3.50133,1.72807,1.6498,0.49016,0.39318,0.37,0.17735,0.46031,0.30563,0.28188,0.09376,1.90389,4.24744,2.09836,1.93848,0.0019406,0.0019406,0.0019406
5,188.53,1.56952,3.37523,1.61867,1.60057,0.57797,0.42121,0.4632,0.22725,0.55979,0.36515,0.38073,0.14934,1.7428,3.60654,1.87451,1.8462,0.0019208,0.0019208,0.0019208
6,225.067,1.53465,3.32455,1.57741,1.57101,0.60154,0.45758,0.49967,0.25663,0.61449,0.39607,0.4118,0.1745,1.67686,3.53285,1.70973,1.78067,0.001901,0.001901,0.001901
7,261.595,1.50639,3.29928,1.52231,1.54945,0.61539,0.43333,0.47601,0.24249,0.60815,0.38788,0.39865,0.15844,1.76166,3.71663,1.75468,1.83745,0.0018812,0.0018812,0.0018812
8,298.133,1.48487,3.27074,1.50254,1.5327,0.53241,0.44511,0.46146,0.24966,0.55402,0.39242,0.40378,0.17548,1.64318,3.41251,1.80981,1.73475,0.0018614,0.0018614,0.0018614
9,335.058,1.43163,3.18809,1.44023,1.50868,0.65026,0.49621,0.56585,0.31976,0.68473,0.45083,0.49691,0.22544,1.53633,3.30967,1.53698,1.65678,0.0018416,0.0018416,0.0018416
10,372.286,1.42731,3.14221,1.43155,1.49075,0.57447,0.50758,0.53763,0.2959,0.6465,0.44015,0.47689,0.21214,1.62369,3.34786,1.61018,1.68987,0.0018218,0.0018218,0.0018218
11,410.244,1.40316,3.10008,1.38486,1.47668,0.69284,0.50923,0.59095,0.32962,0.63736,0.44871,0.48509,0.22389,1.54336,3.33516,1.41888,1.68372,0.001802,0.001802,0.001802
12,447.165,1.35504,3.04081,1.31834,1.45418,0.68679,0.51439,0.58471,0.32214,0.68068,0.44924,0.48784,0.22203,1.57945,3.29002,1.45183,1.68739,0.0017822,0.0017822,0.0017822
